,0
75,http://mmadecisions.com/decision/14304/Mizuki-Inoue-vs-Hannah-Goldy
76,http://mmadecisions.com/decision/14303/Montserrat-Rendon-vs-Tamires-Vidal
77,http://mmadecisions.com/decision/14296/Alexa-Grasso-vs-Valentina-Shevchenko
78,http://mmadecisions.com/decision/14295/Jack-Della-Maddalena-vs-Kevin-Holland
79,http://mmadecisions.com/decision/14292/Kyle-Nelson-vs-Fernando-Padilla
80,http://mmadecisions.com/decision/14288/Tracy-Cortez-vs-Jasmine-Jasudavicius
81,http://mmadecisions.com/decision/14286/Josefine-Knutsson-vs-Marnic-Mann
82,http://mmadecisions.com/decision/14285/Sean-Strickland-vs-Israel-Adesanya
83,http://mmadecisions.com/decision/14283/Manel-Kape-vs-Felipe-dos-Santos
84,http://mmadecisions.com/decision/14277/Jamie-Mullarkey-vs-John-Makdessi
85,http://mmadecisions.com/decision/14276/Nasrat-Haqparast-vs-Landon-Quinones
86,http://mmadecisions.com/decision/14275/Charlie-Radtke-vs-Blood-Diamond
87,http://mmadecisions.com/decision/14266/Manon-Fiorot-vs-Rose-Namajunas
88,http://mmadecisions.com/decision/14261/Taylor-Lapilus-vs-Caolan-Loughran
89,http://mmadecisions.com/decision/14260/Ange-Loosa-vs-Rhys-McKee
90,http://mmadecisions.com/decision/14259/Nora-Cornolle-vs-Joselyne-Edwards
91,http://mmadecisions.com/decision/14257/Jacqueline-Cavalcanti-vs-Zarah-Fairn
92,http://mmadecisions.com/decision/14255/Anthony-Smith-vs-Ryan-Spann
93,http://mmadecisions.com/decision/14254/Giga-Chikadze-vs-Alex-Caceres
94,http://mmadecisions.com/decision/14253/Rinya-Nakamura-vs-Fernie-Garcia
95,http://mmadecisions.com/decision/14252/Erin-Blanchfield-vs-Taila-Santos
96,http://mmadecisions.com/decision/14247/Song-Kenan-vs-Rolando-Bedoya
97,http://mmadecisions.com/decision/14244/Seungwoo-Choi-vs-Jarno-Errens
98,http://mmadecisions.com/decision/14237/Weili-Zhang-vs-Amanda-Lemos
99,http://mmadecisions.com/decision/14236/Ian-Garry-vs-Neil-Magny
100,http://mmadecisions.com/decision/14235/Mario-Bautista-vs-DaMon-Blackshear
101,http://mmadecisions.com/decision/14234/Marlon-Vera-vs-Pedro-Munhoz
102,http://mmadecisions.com/decision/14233/Brad-Tavares-vs-Chris-Weidman
103,http://mmadecisions.com/decision/14230/Brad-Katona-vs-Cody-Gibson
104,http://mmadecisions.com/decision/14229/Andre-Petroski-vs-Gerald-Meerschaert
105,http://mmadecisions.com/decision/14228/Natalia-Silva-vs-Andrea-Lee
106,http://mmadecisions.com/decision/14218/Vicente-Luque-vs-Rafael-dos-Anjos
107,http://mmadecisions.com/decision/14217/Cub-Swanson-vs-Hakeem-Dawodu
108,http://mmadecisions.com/decision/14214/A.J.-Dobson-vs-Tafon-Nchukwi
109,http://mmadecisions.com/decision/14213/Joshua-Fremd-vs-Jamie-Pickett
110,http://mmadecisions.com/decision/14195/Cory-Sandhagen-vs-Rob-Font
111,http://mmadecisions.com/decision/14191/Tanner-Boser-vs-Aleksa-Camur
112,http://mmadecisions.com/decision/14190/Ludovit-Klein-vs-Ignacio-Bahamondes
113,http://mmadecisions.com/decision/14188/Kyler-Phillips-vs-Raoni-Barcelos
114,http://mmadecisions.com/decision/14189/Billy-Quarantillo-vs-Damon-Jackson
115,http://mmadecisions.com/decision/14185/Cody-Durden-vs-Jake-Hadley
