,Judge 1 Fighter 1 Round 1,Judge 1 Fighter 2 Round 1,Judge 1 Fighter 1 Round 2,Judge 1 Fighter 2 Round 2,Judge 1 Fighter 1 Round 3,Judge 1 Fighter 2 Round 3,Judge 1 Fighter 1 Round 4,Judge 1 Fighter 2 Round 4,Judge 1 Fighter 1 Round 5,Judge 1 Fighter 2 Round 5,Judge 2 Fighter 1 Round 1,Judge 2 Fighter 2 Round 1,Judge 2 Fighter 1 Round 2,Judge 2 Fighter 2 Round 2,Judge 2 Fighter 1 Round 3,Judge 2 Fighter 2 Round 3,Judge 2 Fighter 1 Round 4,Judge 2 Fighter 2 Round 4,Judge 2 Fighter 1 Round 5,Judge 2 Fighter 2 Round 5,Judge 3 Fighter 1 Round 1,Judge 3 Fighter 2 Round 1,Judge 3 Fighter 1 Round 2,Judge 3 Fighter 2 Round 2,Judge 3 Fighter 1 Round 3,Judge 3 Fighter 2 Round 3,Judge 3 Fighter 1 Round 4,Judge 3 Fighter 2 Round 4,Judge 3 Fighter 1 Round 5,Judge 3 Fighter 2 Round 5,Date,Fighter 1,Fighter 2,Judge 1,Judge 2,Judge 3
0,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,"December 16, 2023",Alexandre Pantoja,Brandon Royval,Eric Colón,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"December 16, 2023",Paddy Pimblett,Tony Ferguson,Derek Cleary,Sal D'Amato,Junichiro Kamijo
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"December 16, 2023",Alonzo Menifield,Dustin Jacoby,Sal D'Amato,Chris Lee,Tony Weeks
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"December 16, 2023",Irene Aldana,Karol Rosa,Derek Cleary,Ron McCarthy,Jacob Montalvo
0,10,9,10,9,10,9,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,"December 09, 2023",Song Yadong,Chris Gutierrez,Sal D'Amato,Junichiro Kamijo,Ron McCarthy
0,10,9,10,9,9,10,,,,,9,10,10,9,10,9,,,,,9,10,10,9,9,10,,,,,"December 09, 2023",Andre Muniz,Jun Yong Park,Chris Flores,Jacob Montalvo,Tony Weeks
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"December 09, 2023",Kevin Jousset,Song Kenan,Sal D'Amato,Chris Leben,Ron McCarthy
0,10,9,10,9,9,10,,,,,10,9,10,9,10,9,,,,,10,9,9,10,10,9,,,,,"December 09, 2023",Luana Santos,Stephanie Egger,Junichiro Kamijo,Jacob Montalvo,Tony Weeks
0,9,10,10,9,10,9,,,,,9,10,10,9,9,10,,,,,9,10,10,9,10,9,,,,,"December 09, 2023",Talita Alencar,Rayanne Amanda,Adalaide Byrd,Sal D'Amato,Ron McCarthy
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"December 02, 2023",Deiveson Figueiredo,Rob Font,Mike Beltran,Gino Garcia,Patrick Patlán
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"December 02, 2023",Joaquim Silva,Clay Guida,Sal D'Amato,Gino Garcia,Chris Lee
0,10,9,10,9,9,10,,,,,10,9,9,10,9,10,,,,,10,9,10,9,9,10,,,,,"December 02, 2023",Veronica Hardy,Jamey-Lyn Horth,Sal D'Amato,Jacob Montalvo,Patrick Patlán
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"November 18, 2023",Michael Morales,Jake Matthews,Derek Cleary,Sal D'Amato,Chris Flores
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"November 18, 2023",Mick Parkin,Caio Machado,Adalaide Byrd,Derek Cleary,Chris Lee
0,10,9,10,8,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"November 18, 2023",Ailin Perez,Lucie Pudilova,Derek Cleary,Sal D'Amato,Chris Flores
0,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,10,9,10,9,9,10,,,,,"November 18, 2023",Rafael Estevam,Charles Johnson,Derek Cleary,Sal D'Amato,Chris Flores
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"November 11, 2023",Steve Erceg,Alessandro Costa,Chris Bolinski,Sal D'Amato,Chris Lee
0,10,9,9,10,10,9,,,,,10,9,10,9,9,10,,,,,9,10,9,10,9,10,,,,,"November 11, 2023",Lupita Godinez,Tabatha Ricci,Derek Cleary,Sal D'Amato,Bryan Miner
0,10,9,8,10,10,9,,,,,10,9,8,10,10,9,,,,,10,9,9,10,10,9,,,,,"November 11, 2023",Viacheslav Borshchev,Nazim Sadykhov,Derek Cleary,Chris Lee,Bryan Miner
0,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"November 11, 2023",John Castaneda,Kyung Ho Kang,Derek Cleary,Eric Colón,Chris Lee
0,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"November 11, 2023",Josh Van,Kevin Borjas,Chris Bolinski,Bryan Miner,Dave Tirelli
0,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,9,"November 04, 2023",Jailton Almeida,Derrick Lewis,Fabio Alves,Sal D'Amato,Dave Tirelli
0,10,9,10,9,9,10,,,,,10,9,10,9,10,9,,,,,10,9,10,9,9,10,,,,,"November 04, 2023",Rodrigo Nascimento,Don'tale Mayes,Fabio Alves,Hallison Pontes,Dave Tirelli
0,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"November 04, 2023",Caio Borralho,Abus Magomedov,Fabio Alves,Sal D'Amato,Dave Tirelli
0,10,9,9,10,9,10,,,,,10,9,10,9,8,10,,,,,10,9,10,9,8,10,,,,,"November 04, 2023",Rinat Fakhretdinov,Elizeu Zaleski dos Santos,Fabio Alves,Sal D'Amato,Hallison Pontes
0,10,9,10,9,10,9,,,,,9,10,10,9,10,9,,,,,9,10,10,9,10,9,,,,,"November 04, 2023",Angela Hill,Denise Gomes,Sal D'Amato,Dave Tirelli,Alessandro Vieira
0,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,9,10,9,10,10,9,,,,,"November 04, 2023",Marc Diakiese,Kaue Fernandes,Fabio Alves,Hallison Pontes,Dave Tirelli
0,10,8,9,10,10,9,,,,,10,8,9,10,9,10,,,,,10,8,10,9,9,10,,,,,"October 21, 2023",Khamzat Chimaev,Kamaru Usman,Derek Cleary,David Lethaby,Vito Paolillo
0,9,10,10,9,10,9,,,,,10,9,10,9,10,9,,,,,10,9,10,9,10,9,,,,,"October 21, 2023",Trevor Peek,Mohammad Yahya,Ben Cartlidge,Vito Paolillo,Clemens Werner
0,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,10,9,9,10,10,9,,,,,"October 21, 2023",Sedriques Dumas,Abu Azaitar,Derek Cleary,Darryl Ransom,Clemens Werner
