,age_fighter1,reach_fighter1,height_fighter1,days_since_last_comp_fighter1,num_fights_fighter1,last_5_win_ratio_fighter1,L15_ER_average_fighter1,prev_elo_fighter1,prev_trueskill_fighter1,win/lose_streak_fighter1,finish_pcnt_fighter1,total_win/loss_ratio_fighter1,days_since_started_fighter1,sig_strikes_per_minute_fighter1,age_fighter2,reach_fighter2,height_fighter2,days_since_last_comp_fighter2,num_fights_fighter2,last_5_win_ratio_fighter2,L15_ER_average_fighter2,prev_elo_fighter2,prev_trueskill_fighter2,win/lose_streak_fighter2,finish_pcnt_fighter2,total_win/loss_ratio_fighter2,days_since_started_fighter2,sig_strikes_per_minute_fighter2,division_Catch Weight,division_Featherweight,division_Flyweight,division_Heavyweight,division_Light Heavyweight,division_Lightweight,division_Middleweight,division_Open Weight,division_Super Heavyweight,division_Welterweight,division_Women's Bantamweight,division_Women's Featherweight,division_Women's Flyweight,division_Women's Strawweight
4964,10873.0,68.0,66.0,183.0,3.0,0.513853,0.42371428571428577,1189.4652802461974,24.936537625398383,1,0.0,0.5,462,2.1755725190839694,13224.0,65.0,67.0,218.0,4.0,0.394355,0.46293333333333336,1132.8219690828255,22.98295684396934,-1,0.0,0.3333333333333333,610,2.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1918,10192.0,76.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,11255.0,80.0,75.0,148.0,19.0,0.6,0.4477333333333332,1406.4537489940508,35.7247849871118,1,0.3333333333333333,0.7222222222222222,1919,0.3997162357200519,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6822,10953.0,75.0,73.0,190.0,9.0,0.6,0.8212,1359.4638639546883,33.86227540738761,1,0.5,0.75,1502,0.8871258564731338,13656.0,75.0,75.0,364.0,10.0,0.6,0.8271999999999998,1250.9998584564107,28.90516923257091,1,0.2222222222222222,0.5555555555555556,1765,0.7636725223732185,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6816,8891.0,70.0,68.0,435.0,4.0,0.894355,0.9762666666666668,1297.4566633664006,34.7384630165775,3,0.3333333333333333,1.0,1072,1.0743285446595878,8848.0,69.0,68.0,133.0,3.0,0.513853,0.16653333333333334,1198.0567091187725,25.42186562040231,1,0.0,0.5,267,0.7922535211267605,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1456,8411.0,63.0,65.0,177.0,2.0,0.872435,0.27,1252.2433821349655,29.205271266712927,1,1.0,1.0,177,0.9090909090909092,10250.0,62.0,64.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2359,9448.0,71.0,70.0,169.0,8.0,0.6,0.4766666666666666,1246.505363289828,30.367851888066557,-2,0.5714285714285714,0.5714285714285714,898,0.8170938603328901,10792.0,72.0,70.0,435.0,5.0,0.7135,0.02666666666666667,1305.0355795251749,31.339063623722904,-1,0.75,0.75,1219,1.087314662273476,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4090,11523.0,71.0,67.0,125.0,5.0,0.901,0.8968000000000003,1361.338580462313,36.23468798220707,4,0.75,1.0,615,1.284556225316982,12974.0,72.0,70.0,125.0,6.0,0.8,0.7247142857142859,1292.2574890685803,33.366716211900595,4,0.2,0.8,1994,1.2997954025755205,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2992,10564.0,68.0,64.0,314.0,6.0,1.0,0.9436000000000001,1396.497079595901,39.15044335903799,5,0.2,1.0,1049,1.7787188988883007,10993.0,67.0,66.0,174.0,4.0,0.644355,0.8302666666666667,1323.748300302524,35.43100715418941,2,0.6666666666666666,0.6666666666666666,363,1.2612218086271076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6748,10167.0,82.0,79.0,258.0,3.0,0.513853,0.2932,1213.83768428479,24.50859039748359,1,1.0,0.5,454,1.8421052631578947,12775.0,77.0,77.0,209.0,10.0,0.4,0.8065333333333332,1210.381521884873,21.566933324186863,-2,0.6666666666666666,0.3333333333333333,1644,0.5107961571387806,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4535,10623.0,73.0,69.0,181.0,5.0,0.901,0.879466666666667,1365.0836635938992,36.99976872802803,4,0.5,1.0,825,2.2893128357103167,12345.0,68.0,68.0,195.0,20.0,0.6,0.14546666666666666,1307.798310090338,32.60358794714362,1,0.47368421052631576,0.631578947368421,3177,0.3041759063827513,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3417,9161.0,62.0,63.0,216.0,3.0,0.513853,0.3677333333333333,1200.7897073717572,25.452145298981723,-1,0.5,0.5,307,1.2666666666666666,9434.0,65.0,64.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,1,0,0,0,0,0,0,0,0,0,0,0
760,10460.0,73.0,70.0,118.0,4.0,0.394355,0.2734666666666667,1188.5549966705507,27.75984803918092,-2,0.6666666666666666,0.3333333333333333,419,1.5222222222222221,12656.0,71.0,70.0,132.0,28.0,0.4,0.4418666666666667,1244.7166577047649,30.62986118639107,-3,0.4074074074074074,0.5925925925925926,4213,0.1337124055398473,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2160,14547.0,71.0,67.0,363.0,7.0,0.6,0.4218666666666665,1165.5304390130823,27.296506855115283,-1,0.5,0.5,2470,0.6021695815806952,9155.0,69.0,66.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,11975.0,76.0,75.0,132.0,13.0,0.4,0.40493333333333326,1218.3757201650988,27.12372777152578,1,0.6666666666666666,0.5,1861,0.7186129932243921,11714.0,75.0,74.0,97.0,15.0,0.6,0.22666666666666666,1340.6986095591906,32.79955684842531,1,0.7142857142857143,0.6428571428571429,1385,0.4733354370463868,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4476,12728.0,67.0,65.0,182.0,6.0,0.4,0.6006666666666667,1166.5430611382455,21.6200790475206,1,0.8,0.4,1385,1.2725250278086764,12088.0,67.0,64.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5101,12833.0,77.0,74.0,97.0,15.0,0.4,0.2626666666666666,1155.9998707558595,29.349567732989144,-2,0.5,0.5714285714285714,3828,0.4480997252392631,12118.0,71.0,69.0,405.0,20.0,0.2,0.4070666666666666,1211.672129887062,32.53302660822116,-2,0.5263157894736842,0.5263157894736842,3180,0.22402060989611045,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4388,11076.0,69.0,65.0,320.0,2.0,0.122435,0.3333333333333333,1164.338343733774,20.794728733287084,-1,1.0,0.0,320,4.6,10444.0,70.0,67.0,132.0,2.0,0.872435,0.9860000000000001,1245.0,29.205271266712927,1,0.0,1.0,132,4.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,10919.0,72.0,71.0,195.0,7.0,0.8,0.46053333333333335,1300.7476493889912,32.241911742604955,3,0.3333333333333333,0.6666666666666666,694,1.362663032898579,11475.0,75.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5411,11200.0,63.0,61.0,161.0,7.0,0.6,0.6774666666666666,1287.3103105601142,30.700906121746534,2,0.3333333333333333,0.6666666666666666,1275,0.732029432111188,10776.0,63.0,64.0,260.0,8.0,0.6,0.2107999999999999,1263.8945438409364,29.915488762139297,-1,0.5714285714285714,0.5714285714285714,1424,0.8140334785599633,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2864,14471.0,73.0,73.0,637.0,2.0,0.122435,0.028,1143.8475318845044,21.682265306396776,-1,0.0,0.0,637,0.0,12132.0,74.0,74.0,854.0,2.0,0.122435,0.308,1144.953551654124,20.794728733287084,-1,0.0,0.0,854,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2576,10033.0,73.0,72.0,336.0,13.0,1.0,0.7999999999999999,1596.0993567937317,39.23704666210568,8,0.5,0.8333333333333334,2003,0.7611940298507462,15015.0,73.0,72.0,119.0,11.0,0.8,0.18453333333333333,1553.578139966202,43.53723474816344,1,0.8,0.9,1876,0.6418077859546413,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6510,11065.0,72.0,71.0,224.0,10.0,1.0,0.901466666666667,1481.994795320653,39.96247385836468,5,0.4444444444444444,0.8888888888888888,1386,0.6939191155077102,12279.0,70.0,68.0,175.0,25.0,0.6,0.8522666666666666,1552.0363439152948,36.98714886416659,3,0.4583333333333333,0.7083333333333334,3493,0.30464018671798904,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1432,14370.0,77.0,75.0,98.0,26.0,0.4,0.9173333333333334,1309.3865758372554,35.32757678370286,2,0.52,0.64,6413,0.29078938344420824,9216.0,75.0,74.0,119.0,3.0,0.888853,0.9428000000000001,1294.796976847371,30.00356345603338,2,1.0,1.0,203,5.232558139534884,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,13384.0,69.0,68.0,161.0,9.0,0.2,0.5254666666666666,1227.0456221170027,30.26128560634924,-1,0.625,0.5,1197,0.6758781421674713,10345.0,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,0,0,0,0,1,0,0
