,age_fighter1,reach_fighter1,height_fighter1,days_since_last_comp_fighter1,num_fights_fighter1,last_5_win_ratio_fighter1,L15_ER_average_fighter1,prev_elo_fighter1,prev_trueskill_fighter1,win/lose_streak_fighter1,finish_pcnt_fighter1,total_win/loss_ratio_fighter1,days_since_started_fighter1,sig_strikes_per_minute_fighter1,age_fighter2,reach_fighter2,height_fighter2,days_since_last_comp_fighter2,num_fights_fighter2,last_5_win_ratio_fighter2,L15_ER_average_fighter2,prev_elo_fighter2,prev_trueskill_fighter2,win/lose_streak_fighter2,finish_pcnt_fighter2,total_win/loss_ratio_fighter2,days_since_started_fighter2,sig_strikes_per_minute_fighter2,division_Catch Weight,division_Featherweight,division_Flyweight,division_Heavyweight,division_Light Heavyweight,division_Lightweight,division_Middleweight,division_Open Weight,division_Super Heavyweight,division_Welterweight,division_Women's Bantamweight,division_Women's Featherweight,division_Women's Flyweight,division_Women's Strawweight
705,10271.75857400722,68.0,68.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4005,11153.0,74.0,74.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10436.635028841112,70.0,70.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4748,10594.565217391304,75.0,75.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,9951.0,73.0,73.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4030,10594.565217391304,72.0,72.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,11153.0,74.0,74.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2153,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,6672.0,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,11153.0,74.0,74.0,0.0,4.0,0.894355,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,9951.0,73.0,73.0,0.0,4.0,0.894355,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6977,10271.75857400722,67.0,67.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,9951.0,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2473,8996.0,71.0,71.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,9951.0,73.0,73.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5690,10271.75857400722,77.0,77.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1693,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5088,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10436.635028841112,72.0,72.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5468,8996.0,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5448,10436.635028841112,70.0,70.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10436.635028841112,75.0,75.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5632,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,69.0,69.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3837,12422.0,80.0,80.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6804,9744.0,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10133.0,73.0,73.0,182.0,5.0,0.901,0.4999737878964292,1425.2957486739344,38.11228249877526,1,1.0,1.0,182,0.2127659574468085,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1449,10436.635028841112,74.0,74.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2468,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,11168.0,72.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5686,8790.0,64.0,64.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10436.635028841112,71.0,71.0,98.0,2.0,0.872435,0.4999737878964292,1262.2388479333104,29.205271266712927,1,1.0,1.0,98,17.142857142857142,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,10271.75857400722,69.0,69.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,13340.0,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3541,9284.0,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10436.635028841112,70.0,70.0,98.0,2.0,0.872435,0.4999737878964292,1269.6494637683422,30.69419883094817,1,1.0,1.0,98,4.137931034482759,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4379,10594.565217391304,71.0,71.0,0.0,3.0,0.888853,0.4999737878964292,1262.2388479333104,29.205271266712927,1,1.0,1.0,98,17.142857142857142,10231.0,73.0,73.0,0.0,7.0,1.0,0.4999737878964292,1445.6438162539655,38.61804447042563,5,1.0,1.0,280,0.1908548707753479,0,0,0,0,0,0,0,1,0,0,0,0,0,0
348,18953.0,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10231.0,73.0,73.0,98.0,6.0,1.0,0.4999737878964292,1445.6438162539655,38.61804447042563,5,1.0,1.0,280,0.1908548707753479,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4026,9846.0,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6708,13340.0,74.0,74.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10231.0,73.0,73.0,0.0,8.0,1.0,0.4999737878964292,1445.6438162539655,38.61804447042563,5,1.0,1.0,280,0.1908548707753479,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6351,13340.0,74.0,74.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10271.75857400722,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6044,10436.635028841112,74.0,74.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10436.635028841112,70.0,70.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1019,13452.0,74.0,74.0,112.0,4.0,0.644355,0.4999737878964292,1270.2994687897224,30.170514411246742,1,0.6666666666666666,0.6666666666666666,112,0.17543859649122806,10271.75857400722,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3073,13452.0,74.0,74.0,0.0,6.0,0.8,0.4999737878964292,1270.2994687897224,30.170514411246742,1,0.6666666666666666,0.8,112,0.17543859649122806,10594.565217391304,74.0,74.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6909,7570.0,66.0,66.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,79.0,79.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6526,10271.75857400722,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10086.0,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3582,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5665,13452.0,74.0,74.0,0.0,5.0,0.7135,0.4999737878964292,1270.2994687897224,30.170514411246742,1,0.6666666666666666,0.75,112,0.17543859649122806,10086.0,72.0,72.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1965,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6053,11378.0,72.0,73.0,210.0,3.0,0.888853,0.4999737878964292,1302.5696127167948,31.67848019117585,1,1.0,1.0,210,0.8450704225352113,10343.0,73.0,73.0,112.0,9.0,1.0,0.4999737878964292,1521.3351928069355,40.62356225215717,6,1.0,1.0,392,0.214168039538715,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2422,10271.75857400722,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,80.0,80.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5929,13550.0,74.0,74.0,98.0,7.0,0.8,0.4999737878964292,1406.9192061619,35.470839730901254,1,0.8333333333333334,0.8333333333333334,210,0.17948266760513815,11476.0,72.0,73.0,98.0,4.0,0.644355,0.4999737878964292,1302.5696127167948,31.67848019117585,-1,1.0,0.6666666666666666,308,0.36923076923076925,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2668,10749.013953488373,74.0,74.0,98.0,4.0,0.644355,0.4999737878964292,1279.9333192515544,29.77758316273115,1,0.6666666666666666,0.6666666666666666,98,2.5984251968503935,10184.0,72.0,72.0,98.0,3.0,0.513853,0.4999737878964292,1200.6164788197304,26.06898043981319,1,0.5,0.5,98,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2920,10594.565217391304,72.0,72.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10184.0,72.0,72.0,0.0,5.0,0.7135,0.4999737878964292,1200.6164788197304,26.06898043981319,1,0.5,0.75,98,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6255,11643.0,74.0,74.0,490.0,5.0,0.7135,0.4999737878964292,1300.919480460784,32.93313665573738,1,0.75,0.75,490,2.2514071294559104,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1732,10436.635028841112,69.0,69.0,210.0,2.0,0.122435,0.4999737878964292,1146.9871280194195,20.794728733287084,-1,0.0,0.0,210,4.571428571428572,10184.0,72.0,72.0,0.0,4.0,0.644355,0.4999737878964292,1200.6164788197304,26.06898043981319,1,0.5,0.6666666666666666,98,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3840,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1975,10436.635028841112,72.0,72.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10436.635028841112,80.0,80.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6982,10594.565217391304,74.0,74.0,364.0,3.0,0.513853,0.4999737878964292,1188.5121924978837,24.96052457448341,1,0.5,0.5,364,3.6871508379888267,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1644,11532.0,72.0,73.0,56.0,5.0,0.7135,0.4999737878964292,1371.7876415463554,36.17230999628652,1,1.0,0.75,364,0.22388059701492538,10240.0,72.0,72.0,56.0,6.0,0.8,0.4999737878964292,1356.5173755438043,33.25244561456441,1,0.8,0.8,154,0.07965482907401261,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2816,10436.635028841112,72.0,72.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10749.013953488373,80.0,80.0,0.0,4.0,0.644355,0.4999737878964292,1191.3651698127862,25.69243074475778,1,0.5,0.6666666666666666,56,2.278481012658228,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4319,12646.0,73.0,73.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10854.182524271844,75.0,75.0,0.0,5.0,0.7135,0.4999737878964292,1270.4332307497027,29.76588138195233,1,0.6666666666666666,0.75,546,0.3232125367286973,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3791,10271.75857400722,80.0,80.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10594.565217391304,80.0,80.0,56.0,3.0,0.513853,0.4999737878964292,1191.3651698127862,25.69243074475778,1,0.5,0.5,56,2.278481012658228,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4447,10436.635028841112,74.0,74.0,154.0,2.0,0.122435,0.4999737878964292,1136.834514253704,20.794728733287084,-1,0.0,0.0,154,0.34285714285714286,12646.0,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6610,10749.013953488373,75.0,75.0,546.0,4.0,0.644355,0.4999737878964292,1270.4332307497027,29.76588138195233,1,0.6666666666666666,0.6666666666666666,546,0.3232125367286973,10271.75857400722,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6457,10271.75857400722,72.0,72.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,76.0,76.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6385,12646.0,73.0,73.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10854.182524271844,80.0,80.0,0.0,5.0,0.7135,0.4999737878964292,1191.3651698127862,25.69243074475778,1,0.5,0.75,56,2.278481012658228,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2356,13705.0,74.0,74.0,0.0,10.0,0.8,0.4999737878964292,1334.1623973323394,33.185446194949336,-1,0.7142857142857143,0.7777777777777778,365,0.15275358434945732,10339.0,72.0,72.0,0.0,9.0,0.8,0.4999737878964292,1356.5173755438043,33.25244561456441,-1,0.8333333333333334,0.75,253,0.07352941176470588,0,0,0,0,0,0,0,1,0,0,0,0,0,0
408,13705.0,74.0,74.0,0.0,9.0,0.8,0.4999737878964292,1334.1623973323394,33.185446194949336,-1,0.7142857142857143,0.75,365,0.15275358434945732,10854.182524271844,72.0,72.0,0.0,5.0,0.7135,0.4999737878964292,1267.5836645055724,29.09787895389078,1,0.6666666666666666,0.75,155,1.687638786084382,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1794,10749.013953488373,71.0,71.0,365.0,4.0,0.644355,0.4999737878964292,1281.1386155601156,30.01141715496519,2,0.6666666666666666,0.6666666666666666,463,2.7138643067846604,12745.0,73.0,73.0,99.0,4.0,0.894355,0.4999737878964292,1367.258976722383,35.501969724674666,1,1.0,1.0,99,0.7862068965517242,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3948,13705.0,74.0,74.0,155.0,8.0,0.6,0.4999737878964292,1334.1623973323394,33.185446194949336,-1,0.7142857142857143,0.7142857142857143,365,0.15275358434945732,11017.564356435643,80.0,80.0,99.0,6.0,0.6,0.4999737878964292,1243.4527891755977,29.10521649825672,1,0.6,0.6,155,0.7995735607675906,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3031,10749.013953488373,72.0,72.0,155.0,4.0,0.644355,0.4999737878964292,1267.5836645055724,29.09787895389078,1,0.6666666666666666,0.6666666666666666,155,1.687638786084382,10594.565217391304,70.0,70.0,365.0,3.0,0.888853,0.4999737878964292,1318.7643576535188,32.74091758658649,2,1.0,1.0,463,2.472885032537961,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5885,10854.182524271844,74.0,74.0,155.0,5.0,0.526,0.4999737878964292,1213.5736747788071,26.709646485209603,-2,0.5,0.5,253,1.8020022246941045,10339.0,72.0,72.0,99.0,7.0,0.6,0.4999737878964292,1356.5173755438043,33.25244561456441,-1,0.8333333333333334,0.6666666666666666,253,0.07352941176470588,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3196,12745.0,73.0,73.0,0.0,5.0,0.901,0.4999737878964292,1367.258976722383,35.501969724674666,1,1.0,1.0,99,0.7862068965517242,10339.0,72.0,72.0,0.0,8.0,0.8,0.4999737878964292,1356.5173755438043,33.25244561456441,-1,0.8333333333333334,0.7142857142857143,253,0.07352941176470588,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4773,8039.0,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,11253.0,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3684,10987.0,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,70.0,70.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1756,11042.0,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,73.0,73.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
659,11693.0,72.0,73.0,161.0,6.0,0.6,0.4999737878964292,1371.7876415463554,36.17230999628652,-1,1.0,0.6,525,0.2821900789777265,10269.0,75.0,75.0,525.0,2.0,0.122435,0.4999737878964292,1179.6519324199687,23.57060083482425,-1,0.0,0.0,525,1.2857142857142858,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4054,11042.0,73.0,73.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,11253.0,75.0,75.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
663,10271.75857400722,71.0,71.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,11140.938320209974,80.0,80.0,62.0,7.0,0.4,0.4999737878964292,1205.6078570249786,27.75594576420056,-2,0.5,0.5,217,0.5140032948929161,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6773,10987.0,75.0,75.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,8039.0,71.0,71.0,0.0,2.0,0.872435,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3961,11042.0,73.0,73.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,10987.0,75.0,75.0,0.0,3.0,0.888853,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,1.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3003,13858.0,74.0,74.0,153.0,11.0,0.8,0.4999737878964292,1460.9175460243646,36.9682694118584,1,0.6,0.8,518,0.35406585624926235,11784.0,72.0,73.0,91.0,7.0,0.6,0.4999737878964292,1393.4379847807763,36.80423144752106,1,1.0,0.6666666666666666,616,0.19425778863775198,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5571,9120.0,74.0,74.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,10271.75857400722,80.0,80.0,216.1080438291005,1.0,0.43081494057724956,0.4999737878964292,1195.2035697243957,24.821247171423057,0,0.5068236096895258,0.0,0,0.07059141073468737,0,0,0,0,0,0,0,1,0,0,0,0,0,0
