,Round,KD_fighter1,Sig. str. %_fighter1,Sub. att_fighter1,Rev._fighter1,Ctrl_fighter1,lose_streak_fighter1,round_fighter1,age_fighter1,win_loss_ratio_fighter1,win_streak_fighter1,lose_streak_fighter1,num_fights_fighter1,Sig. str. landed_fighter1,Sig. str. attempted_fighter1,Total str. landed_fighter1,Total str. attempted_fighter1,Total Head landed_fighter1,Total Head attempted_fighter1,Total Body landed_fighter1,Total Body attempted_fighter1,Total Leg landed_fighter1,Total Leg attempted_fighter1,Total Distance landed_fighter1,Total Distance attempted_fighter1,Total Clinch landed_fighter1,Total Clinch attempted_fighter1,Total Ground landed_fighter1,Total Ground attempted_fighter1,Total Takedowns_fighter1,Total Takedowns attempted_fighter1,division_Catch Weight_fighter1,division_Featherweight_fighter1,division_Flyweight_fighter1,division_Heavyweight_fighter1,division_Light Heavyweight_fighter1,division_Lightweight_fighter1,division_Middleweight_fighter1,division_Welterweight_fighter1,division_Women's Bantamweight_fighter1,division_Women's Featherweight_fighter1,division_Women's Flyweight_fighter1,division_Women's Strawweight_fighter1,stance_Orthodox_fighter1,stance_Southpaw_fighter1,stance_Switch_fighter1,KD_fighter2,Sig. str. %_fighter2,Sub. att_fighter2,Rev._fighter2,Ctrl_fighter2,lose_streak_fighter2,age_fighter2,win_loss_ratio_fighter2,win_streak_fighter2,lose_streak_fighter2,num_fights_fighter2,Sig. str. landed_fighter2,Sig. str. attempted_fighter2,Total str. landed_fighter2,Total str. attempted_fighter2,Total Head landed_fighter2,Total Head attempted_fighter2,Total Body landed_fighter2,Total Body attempted_fighter2,Total Leg landed_fighter2,Total Leg attempted_fighter2,Total Distance landed_fighter2,Total Distance attempted_fighter2,Total Clinch landed_fighter2,Total Clinch attempted_fighter2,Total Ground landed_fighter2,Total Ground attempted_fighter2,Total Takedowns_fighter2,Total Takedowns attempted_fighter2,division_Catch Weight_fighter2,division_Featherweight_fighter2,division_Flyweight_fighter2,division_Heavyweight_fighter2,division_Light Heavyweight_fighter2,division_Lightweight_fighter2,division_Middleweight_fighter2,division_Welterweight_fighter2,division_Women's Bantamweight_fighter2,division_Women's Featherweight_fighter2,division_Women's Flyweight_fighter2,division_Women's Strawweight_fighter2,stance_Orthodox_fighter2,stance_Southpaw_fighter2,stance_Switch_fighter2,round_winner
10,3,0,0.36,0,0,3,0.0,3.0,13369.0,0.5263157894736842,1.0,0.0,19.0,30,83,34,87,8,51,5,9,17,23,29,81,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.61,0,0,0,1.0,11681.0,0.7,0.0,1.0,10.0,39,63,39,63,16,37,3,4,20,22,38,62,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1,0,0.38,0,0,0,0.0,3.0,10480.0,0.5714285714285714,2.0,0.0,7.0,34,89,34,89,29,81,1,4,4,4,34,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,1.0,15103.0,0.5142857142857142,0.0,1.0,35.0,23,92,23,92,16,82,2,4,5,6,23,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12,2,0,0.59,0,0,0,0.0,3.0,10480.0,0.5714285714285714,2.0,0.0,7.0,65,110,65,110,63,107,2,3,0,0,62,107,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.23,0,0,0,1.0,15103.0,0.5142857142857142,0.0,1.0,35.0,21,88,21,88,17,80,1,4,3,4,21,88,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13,3,0,0.47,0,0,20,0.0,3.0,10480.0,0.5714285714285714,2.0,0.0,7.0,42,88,44,90,38,81,2,5,2,2,42,88,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.26,0,0,0,1.0,15103.0,0.5142857142857142,0.0,1.0,35.0,19,72,19,72,16,65,1,4,2,3,19,72,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14,1,1,0.43,0,0,90,0.0,3.0,8683.0,0.5,1.0,0.0,2.0,40,91,45,108,37,88,2,2,1,1,13,35,5,5,22,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.73,0,0,0,2.0,11354.0,0.3076923076923077,0.0,2.0,13.0,17,23,17,23,5,6,2,4,10,13,17,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,2,0,0.4,0,0,0,0.0,3.0,8683.0,0.5,1.0,0.0,2.0,22,55,22,55,17,41,3,11,2,3,22,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.61,0,0,6,2.0,11354.0,0.3076923076923077,0.0,2.0,13.0,22,36,22,36,8,16,6,9,8,11,21,33,1,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
16,3,0,0.26,0,0,14,0.0,3.0,8683.0,0.5,1.0,0.0,2.0,16,61,17,62,13,52,2,8,1,1,14,59,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.37,0,0,0,2.0,11354.0,0.3076923076923077,0.0,2.0,13.0,12,32,12,32,7,19,4,11,1,2,11,31,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
17,1,0,0.42,0,0,0,0.0,3.0,11170.0,1.0,1.0,0.0,1.0,22,52,22,52,9,30,2,6,11,16,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.38,0,0,0,4.0,12306.0,0.0,0.0,4.0,4.0,10,26,10,26,2,12,7,11,1,3,9,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,2,0,0.54,0,1,40,0.0,3.0,11170.0,1.0,1.0,0.0,1.0,25,46,25,46,11,28,3,6,11,12,12,27,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.55,1,0,185,4.0,12306.0,0.0,0.0,4.0,4.0,5,9,31,36,3,6,2,2,0,1,5,8,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,3,0,0.55,0,0,56,0.0,3.0,11170.0,1.0,1.0,0.0,1.0,16,29,22,37,12,24,2,2,2,3,9,14,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,176,4.0,12306.0,0.0,0.0,4.0,4.0,2,4,38,42,2,4,0,0,0,0,2,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
