,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
0,1,Tim Means,0,20 of 70,28%,21 of 71,0 of 0,---,0,0,0:00,20 of 70,10 of 52,8 of 15,2 of 3,20 of 70,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5ebe8d3849273776
1,1,Belal Muhammad,0,31 of 78,39%,31 of 78,0 of 1,0%,0,0,0:00,31 of 78,24 of 69,4 of 6,3 of 3,31 of 78,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5ebe8d3849273776
2,2,Tim Means,0,34 of 70,48%,35 of 71,0 of 0,---,0,0,0:00,34 of 70,18 of 53,8 of 9,8 of 8,34 of 70,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5ebe8d3849273776
3,2,Belal Muhammad,0,22 of 55,40%,24 of 58,1 of 2,50%,0,0,0:21,22 of 55,16 of 47,4 of 6,2 of 2,22 of 55,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5ebe8d3849273776
4,3,Tim Means,0,37 of 94,39%,37 of 94,0 of 1,0%,0,0,0:00,37 of 94,21 of 73,13 of 18,3 of 3,36 of 92,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/5ebe8d3849273776
5,3,Belal Muhammad,0,35 of 88,39%,35 of 88,0 of 2,0%,0,0,0:00,35 of 88,32 of 83,2 of 4,1 of 1,35 of 88,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5ebe8d3849273776
0,1,Jake Matthews,0,0 of 3,0%,6 of 12,2 of 7,28%,0,0,4:33,0 of 3,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb
1,1,Bojan Velickovic,0,8 of 12,66%,59 of 73,0 of 0,---,0,0,0:00,8 of 12,7 of 11,1 of 1,0 of 0,0 of 2,7 of 9,1 of 1,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb
2,2,Jake Matthews,0,8 of 17,47%,8 of 17,0 of 2,0%,0,0,0:10,8 of 17,8 of 17,0 of 0,0 of 0,7 of 16,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb
3,2,Bojan Velickovic,0,10 of 25,40%,29 of 50,0 of 0,---,1,1,2:45,10 of 25,9 of 21,1 of 3,0 of 1,5 of 17,2 of 4,3 of 4,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb
4,3,Jake Matthews,0,12 of 14,85%,36 of 40,2 of 2,100%,0,1,2:24,12 of 14,10 of 11,1 of 2,1 of 1,4 of 6,0 of 0,8 of 8,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb
5,3,Bojan Velickovic,0,6 of 11,54%,25 of 40,1 of 1,100%,0,1,1:53,6 of 11,4 of 9,0 of 0,2 of 2,4 of 9,0 of 0,2 of 2,http://www.ufcstats.com/fight-details/344bfe9c1ff511bb
0,1,Elias Theodorou,0,34 of 88,38%,34 of 88,0 of 0,---,0,0,0:00,34 of 88,11 of 49,10 of 20,13 of 19,33 of 87,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/569e2c02f7699c0d
1,1,Daniel Kelly,0,13 of 42,30%,15 of 44,0 of 0,---,0,0,0:00,13 of 42,11 of 39,2 of 3,0 of 0,5 of 30,8 of 12,0 of 0,http://www.ufcstats.com/fight-details/569e2c02f7699c0d
2,2,Elias Theodorou,0,45 of 89,50%,49 of 93,0 of 0,---,0,0,0:00,45 of 89,23 of 55,14 of 21,8 of 13,38 of 81,7 of 8,0 of 0,http://www.ufcstats.com/fight-details/569e2c02f7699c0d
3,2,Daniel Kelly,0,16 of 45,35%,23 of 53,1 of 5,20%,0,0,0:20,16 of 45,16 of 44,0 of 1,0 of 0,10 of 31,6 of 14,0 of 0,http://www.ufcstats.com/fight-details/569e2c02f7699c0d
4,3,Elias Theodorou,0,39 of 73,53%,45 of 80,0 of 0,---,0,1,0:54,39 of 73,15 of 40,9 of 13,15 of 20,34 of 67,5 of 6,0 of 0,http://www.ufcstats.com/fight-details/569e2c02f7699c0d
5,3,Daniel Kelly,0,13 of 33,39%,16 of 36,1 of 2,50%,1,0,0:38,13 of 33,10 of 29,2 of 3,1 of 1,10 of 28,3 of 5,0 of 0,http://www.ufcstats.com/fight-details/569e2c02f7699c0d
0,1,Alexander Volkanovski,0,20 of 39,51%,21 of 40,1 of 5,20%,0,0,1:51,20 of 39,6 of 23,5 of 5,9 of 11,16 of 29,4 of 10,0 of 0,http://www.ufcstats.com/fight-details/097bc98e15722998
1,1,Shane Young,0,7 of 33,21%,8 of 34,0 of 0,---,0,0,0:00,7 of 33,3 of 27,4 of 6,0 of 0,5 of 30,2 of 3,0 of 0,http://www.ufcstats.com/fight-details/097bc98e15722998
2,2,Alexander Volkanovski,0,29 of 47,61%,32 of 50,3 of 5,60%,0,0,2:31,29 of 47,17 of 35,4 of 4,8 of 8,18 of 33,4 of 5,7 of 9,http://www.ufcstats.com/fight-details/097bc98e15722998
3,2,Shane Young,0,8 of 41,19%,8 of 41,0 of 0,---,0,0,0:00,8 of 41,7 of 37,0 of 2,1 of 2,8 of 41,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/097bc98e15722998
4,3,Alexander Volkanovski,0,19 of 28,67%,26 of 38,1 of 4,25%,0,0,4:00,19 of 28,13 of 20,2 of 4,4 of 4,6 of 9,6 of 10,7 of 9,http://www.ufcstats.com/fight-details/097bc98e15722998
5,3,Shane Young,0,3 of 7,42%,4 of 8,1 of 1,100%,0,0,0:16,3 of 7,1 of 3,1 of 2,1 of 2,2 of 4,1 of 3,0 of 0,http://www.ufcstats.com/fight-details/097bc98e15722998
0,1,Ryan Benoit,0,11 of 25,44%,11 of 25,0 of 0,---,0,0,0:00,11 of 25,10 of 23,1 of 2,0 of 0,11 of 24,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5
1,1,Ashkan Mokhtarian,0,14 of 29,48%,15 of 30,0 of 2,0%,0,0,0:22,14 of 29,5 of 15,3 of 7,6 of 7,13 of 28,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5
2,2,Ryan Benoit,0,21 of 42,50%,22 of 43,0 of 1,0%,0,0,0:02,21 of 42,18 of 38,3 of 4,0 of 0,17 of 38,1 of 1,3 of 3,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5
3,2,Ashkan Mokhtarian,0,20 of 52,38%,20 of 52,0 of 1,0%,0,0,0:00,20 of 52,11 of 41,6 of 8,3 of 3,20 of 52,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5
4,3,Ryan Benoit,1,13 of 26,50%,14 of 27,0 of 0,---,0,0,0:00,13 of 26,12 of 25,0 of 0,1 of 1,12 of 25,0 of 0,1 of 1,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5
5,3,Ashkan Mokhtarian,0,8 of 20,40%,8 of 20,0 of 0,---,0,0,0:00,8 of 20,4 of 15,2 of 3,2 of 2,8 of 20,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/b90a5b9061ec54a5
0,1,Nik Lentz,0,23 of 52,44%,28 of 57,0 of 1,0%,0,0,0:46,23 of 52,11 of 36,3 of 5,9 of 11,15 of 43,8 of 9,0 of 0,http://www.ufcstats.com/fight-details/fd2c018aade60a14
1,1,Will Brooks,0,26 of 43,60%,26 of 43,1 of 3,33%,1,0,0:33,26 of 43,19 of 35,2 of 2,5 of 6,22 of 39,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/fd2c018aade60a14
2,2,Nik Lentz,0,11 of 30,36%,12 of 31,0 of 1,0%,1,1,0:00,11 of 30,4 of 22,4 of 4,3 of 4,10 of 28,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/fd2c018aade60a14
3,2,Will Brooks,0,23 of 35,65%,23 of 35,1 of 1,100%,0,0,0:12,23 of 35,23 of 35,0 of 0,0 of 0,20 of 31,3 of 4,0 of 0,http://www.ufcstats.com/fight-details/fd2c018aade60a14
0,1,Rashad Coulter,0,10 of 19,52%,19 of 28,0 of 2,0%,0,0,0:38,10 of 19,2 of 11,7 of 7,1 of 1,3 of 10,7 of 7,0 of 2,http://www.ufcstats.com/fight-details/6971094300073d47
