,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
5,3,Makwan Amirkhani,0,8 of 26,30%,14 of 32,1 of 7,14%,0,1,1:23,8 of 26,8 of 24,0 of 2,0 of 0,7 of 25,0 of 0,1 of 1,http://www.ufcstats.com/fight-details/7ec86f2af631344f
0,1,Joe Duffy,0,9 of 17,52%,17 of 26,0 of 0,---,0,1,3:34,9 of 17,7 of 15,2 of 2,0 of 0,2 of 9,0 of 0,7 of 8,http://www.ufcstats.com/fight-details/55f727e00553035d
1,1,Reza Madadi,0,4 of 7,57%,10 of 15,2 of 3,66%,0,0,0:46,4 of 7,2 of 4,1 of 1,1 of 2,2 of 5,1 of 1,1 of 1,http://www.ufcstats.com/fight-details/55f727e00553035d
2,2,Joe Duffy,0,21 of 77,27%,21 of 77,0 of 0,---,0,0,0:00,21 of 77,17 of 69,3 of 6,1 of 2,21 of 77,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/55f727e00553035d
3,2,Reza Madadi,0,7 of 25,28%,7 of 25,0 of 4,0%,0,0,0:03,7 of 25,6 of 21,1 of 2,0 of 2,6 of 23,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/55f727e00553035d
4,3,Joe Duffy,0,21 of 67,31%,23 of 69,0 of 0,---,0,0,0:46,21 of 67,15 of 59,4 of 6,2 of 2,20 of 66,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/55f727e00553035d
5,3,Reza Madadi,0,17 of 31,54%,17 of 31,0 of 5,0%,0,0,0:05,17 of 31,12 of 25,5 of 6,0 of 0,14 of 28,3 of 3,0 of 0,http://www.ufcstats.com/fight-details/55f727e00553035d
0,1,Darren Stewart,0,14 of 27,51%,23 of 38,1 of 3,33%,0,0,0:17,14 of 27,6 of 16,2 of 3,6 of 8,7 of 14,6 of 10,1 of 3,http://www.ufcstats.com/fight-details/c365a488a8de3c89
1,1,Francimar Barroso,0,12 of 24,50%,20 of 33,1 of 4,25%,0,0,2:00,12 of 24,4 of 14,5 of 6,3 of 4,7 of 13,5 of 9,0 of 2,http://www.ufcstats.com/fight-details/c365a488a8de3c89
2,2,Darren Stewart,0,6 of 11,54%,13 of 18,0 of 1,0%,0,0,2:51,6 of 11,2 of 5,2 of 2,2 of 4,1 of 5,5 of 6,0 of 0,http://www.ufcstats.com/fight-details/c365a488a8de3c89
3,2,Francimar Barroso,0,8 of 15,53%,17 of 25,6 of 6,100%,0,0,0:00,8 of 15,3 of 10,3 of 3,2 of 2,4 of 9,3 of 5,1 of 1,http://www.ufcstats.com/fight-details/c365a488a8de3c89
4,3,Darren Stewart,0,11 of 35,31%,19 of 46,0 of 1,0%,0,0,0:50,11 of 35,5 of 26,3 of 4,3 of 5,8 of 31,3 of 4,0 of 0,http://www.ufcstats.com/fight-details/c365a488a8de3c89
5,3,Francimar Barroso,0,8 of 23,34%,9 of 24,0 of 2,0%,0,0,0:39,8 of 23,7 of 21,0 of 1,1 of 1,6 of 19,2 of 4,0 of 0,http://www.ufcstats.com/fight-details/c365a488a8de3c89
0,1,Daniel Omielanczuk,0,21 of 29,72%,31 of 40,0 of 0,---,0,0,0:00,21 of 29,6 of 12,10 of 11,5 of 6,13 of 19,8 of 10,0 of 0,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
1,1,Timothy Johnson,0,19 of 34,55%,26 of 47,0 of 1,0%,0,0,2:28,19 of 34,6 of 19,3 of 5,10 of 10,5 of 18,14 of 16,0 of 0,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
2,2,Daniel Omielanczuk,0,17 of 32,53%,30 of 47,0 of 0,---,0,0,0:00,17 of 32,11 of 26,3 of 3,3 of 3,15 of 30,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
3,2,Timothy Johnson,0,20 of 38,52%,44 of 65,1 of 2,50%,0,0,3:03,20 of 38,15 of 32,1 of 1,4 of 5,10 of 25,5 of 6,5 of 7,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
4,3,Daniel Omielanczuk,0,16 of 32,50%,33 of 49,0 of 2,0%,0,0,0:35,16 of 32,8 of 23,6 of 7,2 of 2,7 of 22,9 of 10,0 of 0,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
5,3,Timothy Johnson,0,13 of 32,40%,32 of 56,0 of 2,0%,0,0,3:11,13 of 32,8 of 22,0 of 0,5 of 10,6 of 19,7 of 13,0 of 0,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
0,1,Leon Edwards,0,9 of 19,47%,11 of 21,0 of 3,0%,0,0,0:21,9 of 19,6 of 16,1 of 1,2 of 2,7 of 17,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/88ce808e4e604180
1,1,Vicente Luque,0,9 of 13,69%,27 of 31,2 of 3,66%,0,0,3:01,9 of 13,5 of 8,2 of 3,2 of 2,7 of 11,1 of 1,1 of 1,http://www.ufcstats.com/fight-details/88ce808e4e604180
2,2,Leon Edwards,0,9 of 18,50%,23 of 37,2 of 4,50%,0,0,2:59,9 of 18,6 of 12,3 of 6,0 of 0,6 of 10,2 of 5,1 of 3,http://www.ufcstats.com/fight-details/88ce808e4e604180
3,2,Vicente Luque,0,0 of 3,0%,1 of 4,0 of 1,0%,0,0,1:13,0 of 3,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/88ce808e4e604180
4,3,Leon Edwards,0,35 of 65,53%,43 of 77,1 of 5,20%,0,0,1:52,35 of 65,26 of 53,8 of 10,1 of 2,31 of 59,4 of 5,0 of 1,http://www.ufcstats.com/fight-details/88ce808e4e604180
5,3,Vicente Luque,0,15 of 28,53%,16 of 29,0 of 3,0%,0,0,1:09,15 of 28,8 of 19,5 of 6,2 of 3,14 of 27,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/88ce808e4e604180
0,1,Marc Diakiese,1,6 of 7,85%,6 of 7,0 of 0,---,0,0,0:01,6 of 7,2 of 3,2 of 2,2 of 2,6 of 7,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/eee7f546c126ee8b
1,1,Teemu Packalen,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,1 of 1,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/eee7f546c126ee8b
0,1,Brad Scott,1,24 of 53,45%,26 of 55,0 of 0,---,0,0,1:17,24 of 53,10 of 33,7 of 12,7 of 8,19 of 46,3 of 5,2 of 2,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
1,1,Scott Askham,0,18 of 39,46%,18 of 39,0 of 1,0%,0,0,0:05,18 of 39,7 of 25,8 of 11,3 of 3,16 of 35,2 of 4,0 of 0,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
2,2,Brad Scott,0,25 of 59,42%,25 of 59,0 of 0,---,0,0,0:00,25 of 59,12 of 42,3 of 4,10 of 13,24 of 58,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
3,2,Scott Askham,0,33 of 69,47%,33 of 69,1 of 2,50%,0,0,0:20,33 of 69,23 of 54,5 of 9,5 of 6,33 of 69,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
4,3,Brad Scott,0,23 of 63,36%,23 of 63,0 of 0,---,0,0,0:00,23 of 63,20 of 51,2 of 5,1 of 7,22 of 62,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
5,3,Scott Askham,0,35 of 87,40%,35 of 87,0 of 0,---,0,0,0:00,35 of 87,24 of 70,8 of 12,3 of 5,35 of 87,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
0,1,Lina Lansberg,0,22 of 39,56%,30 of 49,0 of 2,0%,0,0,1:57,22 of 39,7 of 19,10 of 15,5 of 5,1 of 12,21 of 27,0 of 0,http://www.ufcstats.com/fight-details/0bb419537705fb04
1,1,Lucie Pudilova,0,23 of 45,51%,38 of 61,0 of 2,0%,0,0,0:59,23 of 45,9 of 28,13 of 16,1 of 1,10 of 29,13 of 16,0 of 0,http://www.ufcstats.com/fight-details/0bb419537705fb04
2,2,Lina Lansberg,0,28 of 46,60%,36 of 54,1 of 2,50%,0,0,2:19,28 of 46,15 of 29,11 of 14,2 of 3,18 of 32,5 of 9,5 of 5,http://www.ufcstats.com/fight-details/0bb419537705fb04
3,2,Lucie Pudilova,0,22 of 48,45%,39 of 69,0 of 0,---,0,0,0:07,22 of 48,17 of 42,5 of 6,0 of 0,20 of 45,1 of 2,1 of 1,http://www.ufcstats.com/fight-details/0bb419537705fb04
4,3,Lina Lansberg,0,30 of 59,50%,30 of 59,0 of 3,0%,0,0,1:37,30 of 59,20 of 48,5 of 6,5 of 5,26 of 54,4 of 5,0 of 0,http://www.ufcstats.com/fight-details/0bb419537705fb04
5,3,Lucie Pudilova,0,54 of 111,48%,86 of 147,0 of 0,---,0,0,0:00,54 of 111,51 of 107,2 of 3,1 of 1,38 of 94,16 of 17,0 of 0,http://www.ufcstats.com/fight-details/0bb419537705fb04
0,1,Vitor Belfort,0,10 of 28,35%,10 of 28,0 of 0,---,0,0,0:00,10 of 28,5 of 22,5 of 6,0 of 0,10 of 28,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/58450502a93454c8
1,1,Kelvin Gastelum,2,26 of 49,53%,26 of 49,0 of 0,---,0,0,0:43,26 of 49,25 of 48,0 of 0,1 of 1,13 of 31,0 of 0,13 of 18,http://www.ufcstats.com/fight-details/58450502a93454c8
0,1,Mauricio Rua,1,39 of 77,50%,39 of 77,2 of 3,66%,0,0,0:00,39 of 77,28 of 61,6 of 9,5 of 7,39 of 75,0 of 2,0 of 0,http://www.ufcstats.com/fight-details/34524408fb4d6752
1,1,Gian Villante,0,25 of 69,36%,25 of 69,0 of 0,---,0,0,0:09,25 of 69,21 of 64,2 of 3,2 of 2,25 of 69,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/34524408fb4d6752
2,2,Mauricio Rua,0,38 of 68,55%,38 of 69,0 of 0,---,0,0,0:04,38 of 68,26 of 55,7 of 7,5 of 6,38 of 68,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/34524408fb4d6752
3,2,Gian Villante,0,27 of 68,39%,27 of 68,0 of 1,0%,0,0,0:00,27 of 68,25 of 66,1 of 1,1 of 1,27 of 68,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/34524408fb4d6752
4,3,Mauricio Rua,1,17 of 28,60%,17 of 28,0 of 0,---,0,0,0:00,17 of 28,14 of 24,3 of 4,0 of 0,17 of 28,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/34524408fb4d6752
5,3,Gian Villante,0,3 of 14,21%,3 of 14,0 of 0,---,0,0,0:00,3 of 14,2 of 13,0 of 0,1 of 1,3 of 14,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/34524408fb4d6752
0,1,Edson Barboza,0,16 of 45,35%,17 of 46,0 of 0,---,0,0,0:02,16 of 45,7 of 33,8 of 11,1 of 1,16 of 45,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/b47e4f0982938e5b
1,1,Beneil Dariush,0,28 of 67,41%,28 of 67,0 of 1,0%,0,0,0:00,28 of 67,14 of 49,6 of 10,8 of 8,26 of 63,2 of 4,0 of 0,http://www.ufcstats.com/fight-details/b47e4f0982938e5b
2,2,Edson Barboza,1,14 of 37,37%,14 of 37,0 of 0,---,0,0,0:01,14 of 37,6 of 28,5 of 6,3 of 3,13 of 36,0 of 0,1 of 1,http://www.ufcstats.com/fight-details/b47e4f0982938e5b
3,2,Beneil Dariush,0,23 of 54,42%,23 of 54,0 of 1,0%,0,0,0:00,23 of 54,17 of 45,4 of 5,2 of 4,22 of 53,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/b47e4f0982938e5b
0,1,Jussier Formiga,0,17 of 29,58%,28 of 40,0 of 2,0%,0,0,1:04,17 of 29,8 of 19,6 of 7,3 of 3,12 of 23,5 of 6,0 of 0,http://www.ufcstats.com/fight-details/74d4e37b97866514
1,1,Ray Borg,0,14 of 43,32%,15 of 44,0 of 0,---,0,0,0:00,14 of 43,4 of 29,8 of 12,2 of 2,4 of 26,10 of 17,0 of 0,http://www.ufcstats.com/fight-details/74d4e37b97866514
2,2,Jussier Formiga,0,13 of 33,39%,15 of 36,0 of 1,0%,0,0,0:10,13 of 33,6 of 25,2 of 2,5 of 6,11 of 30,2 of 2,0 of 1,http://www.ufcstats.com/fight-details/74d4e37b97866514
3,2,Ray Borg,0,7 of 28,25%,8 of 29,0 of 5,0%,0,0,1:44,7 of 28,3 of 22,4 of 5,0 of 1,3 of 24,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/74d4e37b97866514
4,3,Jussier Formiga,0,0 of 0,---,1 of 1,0 of 0,---,0,0,2:11,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/74d4e37b97866514
5,3,Ray Borg,0,15 of 17,88%,30 of 32,0 of 1,0%,0,1,2:38,15 of 17,15 of 17,0 of 0,0 of 0,0 of 0,0 of 0,15 of 17,http://www.ufcstats.com/fight-details/74d4e37b97866514
0,1,Bethe Correia,0,15 of 37,40%,23 of 46,1 of 1,100%,0,0,1:20,15 of 37,8 of 28,2 of 4,5 of 5,15 of 36,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/b03dd50785e761a0
1,1,Marion Reneau,0,20 of 45,44%,32 of 57,0 of 0,---,0,0,0:00,20 of 45,6 of 30,8 of 8,6 of 7,15 of 40,5 of 5,0 of 0,http://www.ufcstats.com/fight-details/b03dd50785e761a0
2,2,Bethe Correia,0,26 of 52,50%,33 of 63,1 of 1,100%,0,0,2:01,26 of 52,11 of 34,12 of 15,3 of 3,23 of 47,1 of 1,2 of 4,http://www.ufcstats.com/fight-details/b03dd50785e761a0
3,2,Marion Reneau,0,16 of 41,39%,32 of 61,0 of 0,---,0,0,0:00,16 of 41,14 of 38,2 of 2,0 of 1,11 of 35,2 of 2,3 of 4,http://www.ufcstats.com/fight-details/b03dd50785e761a0
4,3,Bethe Correia,0,2 of 6,33%,12 of 19,0 of 2,0%,0,0,0:01,2 of 6,1 of 5,1 of 1,0 of 0,2 of 6,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/b03dd50785e761a0
5,3,Marion Reneau,0,39 of 46,84%,89 of 118,0 of 0,---,0,0,4:00,39 of 46,38 of 43,1 of 2,0 of 1,9 of 14,1 of 2,29 of 30,http://www.ufcstats.com/fight-details/b03dd50785e761a0
0,1,Alex Oliveira,0,6 of 14,42%,12 of 20,4 of 6,66%,0,0,2:47,6 of 14,2 of 10,0 of 0,4 of 4,2 of 6,3 of 3,1 of 5,http://www.ufcstats.com/fight-details/24f156a78bd32026
1,1,Tim Means,0,4 of 7,57%,24 of 31,0 of 0,---,0,0,1:44,4 of 7,3 of 6,1 of 1,0 of 0,0 of 2,2 of 2,2 of 3,http://www.ufcstats.com/fight-details/24f156a78bd32026
2,2,Alex Oliveira,0,6 of 10,60%,6 of 11,2 of 5,40%,1,0,2:02,6 of 10,4 of 7,1 of 1,1 of 2,0 of 1,3 of 5,3 of 4,http://www.ufcstats.com/fight-details/24f156a78bd32026
3,2,Tim Means,0,5 of 5,100%,10 of 10,0 of 1,0%,0,0,0:17,5 of 5,5 of 5,0 of 0,0 of 0,0 of 0,3 of 3,2 of 2,http://www.ufcstats.com/fight-details/24f156a78bd32026
0,1,Francisco Trinaldo,0,17 of 41,41%,22 of 47,0 of 0,---,1,0,0:41,17 of 41,15 of 39,2 of 2,0 of 0,8 of 30,4 of 5,5 of 6,http://www.ufcstats.com/fight-details/76602c3658d70273
1,1,Kevin Lee,0,8 of 23,34%,12 of 28,1 of 7,14%,0,0,1:44,8 of 23,4 of 18,4 of 5,0 of 0,5 of 19,3 of 3,0 of 1,http://www.ufcstats.com/fight-details/76602c3658d70273
2,2,Francisco Trinaldo,0,8 of 18,44%,8 of 18,0 of 1,0%,0,0,0:04,8 of 18,4 of 13,4 of 5,0 of 0,7 of 17,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/76602c3658d70273
3,2,Kevin Lee,0,7 of 20,35%,11 of 24,0 of 1,0%,1,0,0:53,7 of 20,5 of 18,2 of 2,0 of 0,7 of 17,0 of 0,0 of 3,http://www.ufcstats.com/fight-details/76602c3658d70273
0,1,Sergio Moraes,0,7 of 27,25%,7 of 27,0 of 0,---,0,0,0:00,7 of 27,4 of 22,3 of 5,0 of 0,7 of 27,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f4f5049e789b7716
1,1,Davi Ramos,0,10 of 36,27%,10 of 36,0 of 0,---,0,0,0:00,10 of 36,5 of 30,2 of 3,3 of 3,10 of 36,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f4f5049e789b7716
2,2,Sergio Moraes,0,19 of 31,61%,19 of 31,0 of 0,---,0,0,0:00,19 of 31,11 of 21,6 of 8,2 of 2,19 of 31,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f4f5049e789b7716
3,2,Davi Ramos,0,17 of 52,32%,17 of 52,0 of 1,0%,0,0,0:00,17 of 52,10 of 40,5 of 10,2 of 2,17 of 52,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f4f5049e789b7716
4,3,Sergio Moraes,0,13 of 35,37%,13 of 35,0 of 0,---,0,0,0:00,13 of 35,9 of 28,4 of 7,0 of 0,13 of 35,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f4f5049e789b7716
5,3,Davi Ramos,0,8 of 34,23%,8 of 34,0 of 0,---,0,0,0:00,8 of 34,6 of 27,0 of 4,2 of 3,8 of 34,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/f4f5049e789b7716
0,1,Rani Yahya,0,21 of 73,28%,22 of 74,1 of 2,50%,0,0,0:50,21 of 73,13 of 60,5 of 10,3 of 3,21 of 73,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dc169cc01d675125
1,1,Joe Soto,0,9 of 29,31%,10 of 30,0 of 0,---,1,0,0:01,9 of 29,7 of 26,1 of 2,1 of 1,9 of 29,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dc169cc01d675125
2,2,Rani Yahya,0,28 of 109,25%,29 of 110,0 of 8,0%,0,0,0:00,28 of 109,23 of 102,3 of 5,2 of 2,26 of 103,2 of 6,0 of 0,http://www.ufcstats.com/fight-details/dc169cc01d675125
3,2,Joe Soto,0,31 of 63,49%,35 of 69,0 of 0,---,0,0,0:59,31 of 63,29 of 60,2 of 3,0 of 0,24 of 54,1 of 2,6 of 7,http://www.ufcstats.com/fight-details/dc169cc01d675125
4,3,Rani Yahya,0,10 of 33,30%,14 of 37,0 of 1,0%,0,0,0:07,10 of 33,5 of 28,5 of 5,0 of 0,8 of 30,2 of 3,0 of 0,http://www.ufcstats.com/fight-details/dc169cc01d675125
5,3,Joe Soto,0,14 of 21,66%,53 of 77,1 of 1,100%,1,0,3:40,14 of 21,13 of 20,1 of 1,0 of 0,3 of 10,2 of 2,9 of 9,http://www.ufcstats.com/fight-details/dc169cc01d675125
0,1,Michel Prazeres,0,24 of 34,70%,34 of 45,2 of 3,66%,1,0,1:12,24 of 34,24 of 34,0 of 0,0 of 0,4 of 7,12 of 19,8 of 8,http://www.ufcstats.com/fight-details/12740c6b17779fe9
1,1,Joshua Burkman,0,1 of 1,100%,1 of 1,0 of 1,0%,0,0,0:00,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/12740c6b17779fe9
0,1,Rony Jason,0,6 of 13,46%,20 of 28,0 of 1,0%,0,0,0:37,6 of 13,4 of 9,2 of 4,0 of 0,6 of 13,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/ebb94e00d6431e7a
1,1,Jeremy Kennedy,0,15 of 28,53%,35 of 51,3 of 4,75%,0,0,2:40,15 of 28,15 of 27,0 of 1,0 of 0,3 of 14,1 of 2,11 of 12,http://www.ufcstats.com/fight-details/ebb94e00d6431e7a
2,2,Rony Jason,1,8 of 16,50%,51 of 59,0 of 0,---,0,0,3:16,8 of 16,7 of 15,0 of 0,1 of 1,4 of 9,0 of 0,4 of 7,http://www.ufcstats.com/fight-details/ebb94e00d6431e7a
3,2,Jeremy Kennedy,0,11 of 21,52%,23 of 33,0 of 0,---,0,0,0:00,11 of 21,10 of 20,1 of 1,0 of 0,7 of 16,1 of 2,3 of 3,http://www.ufcstats.com/fight-details/ebb94e00d6431e7a
4,3,Rony Jason,0,4 of 7,57%,24 of 29,0 of 0,---,0,0,0:00,4 of 7,3 of 6,1 of 1,0 of 0,1 of 4,0 of 0,3 of 3,http://www.ufcstats.com/fight-details/ebb94e00d6431e7a
5,3,Jeremy Kennedy,0,20 of 25,80%,47 of 59,5 of 5,100%,0,0,3:57,20 of 25,19 of 24,0 of 0,1 of 1,3 of 5,0 of 0,17 of 20,http://www.ufcstats.com/fight-details/ebb94e00d6431e7a
0,1,Garreth McLellan,0,6 of 14,42%,6 of 14,0 of 1,0%,0,0,0:00,6 of 14,2 of 10,4 of 4,0 of 0,5 of 11,1 of 3,0 of 0,http://www.ufcstats.com/fight-details/0ace7e71f5d66bc9
1,1,Paulo Costa,1,22 of 32,68%,23 of 33,0 of 0,---,0,0,0:05,22 of 32,18 of 28,3 of 3,1 of 1,16 of 26,0 of 0,6 of 6,http://www.ufcstats.com/fight-details/0ace7e71f5d66bc9
0,1,Tyron Woodley,0,5 of 12,41%,5 of 12,0 of 0,---,0,0,0:00,5 of 12,0 of 5,1 of 3,4 of 4,5 of 12,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
1,1,Stephen Thompson,0,6 of 19,31%,6 of 19,0 of 0,---,0,0,0:00,6 of 19,4 of 15,1 of 2,1 of 2,6 of 19,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
2,2,Tyron Woodley,0,8 of 16,50%,8 of 16,0 of 0,---,0,0,0:00,8 of 16,3 of 9,3 of 5,2 of 2,8 of 16,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
3,2,Stephen Thompson,0,8 of 24,33%,8 of 24,0 of 0,---,0,0,0:00,8 of 24,4 of 19,3 of 4,1 of 1,8 of 24,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
4,3,Tyron Woodley,0,15 of 28,53%,30 of 43,1 of 2,50%,0,0,1:47,15 of 28,8 of 20,7 of 8,0 of 0,2 of 14,1 of 2,12 of 12,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
5,3,Stephen Thompson,0,14 of 28,50%,27 of 41,0 of 0,---,0,0,0:19,14 of 28,4 of 18,9 of 9,1 of 1,13 of 26,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
6,4,Tyron Woodley,0,9 of 22,40%,9 of 22,0 of 0,---,0,0,0:00,9 of 22,1 of 12,8 of 10,0 of 0,9 of 22,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
7,4,Stephen Thompson,0,12 of 34,35%,12 of 34,0 of 0,---,0,0,0:00,12 of 34,10 of 29,1 of 4,1 of 1,12 of 34,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
8,5,Tyron Woodley,1,17 of 47,36%,18 of 48,0 of 0,---,0,0,0:10,17 of 47,16 of 43,1 of 4,0 of 0,6 of 28,4 of 10,7 of 9,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
9,5,Stephen Thompson,0,13 of 41,31%,13 of 41,0 of 0,---,0,0,0:00,13 of 41,8 of 34,3 of 5,2 of 2,13 of 41,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/dfc8c5161ea0ccb5
0,1,Lando Vannata,0,21 of 47,44%,21 of 47,1 of 1,100%,0,0,0:05,21 of 47,10 of 30,4 of 8,7 of 9,19 of 44,2 of 3,0 of 0,http://www.ufcstats.com/fight-details/7ac4b9823b1e139b
1,1,David Teymur,0,28 of 69,40%,28 of 69,0 of 0,---,0,0,0:00,28 of 69,14 of 46,5 of 11,9 of 12,26 of 63,2 of 6,0 of 0,http://www.ufcstats.com/fight-details/7ac4b9823b1e139b
2,2,Lando Vannata,0,22 of 41,53%,23 of 42,0 of 0,---,0,0,0:00,22 of 41,8 of 24,7 of 10,7 of 7,22 of 39,0 of 2,0 of 0,http://www.ufcstats.com/fight-details/7ac4b9823b1e139b
3,2,David Teymur,0,28 of 58,48%,31 of 61,1 of 1,100%,0,0,0:05,28 of 58,14 of 40,9 of 12,5 of 6,21 of 50,7 of 8,0 of 0,http://www.ufcstats.com/fight-details/7ac4b9823b1e139b
4,3,Lando Vannata,0,33 of 53,62%,35 of 55,0 of 0,---,0,0,0:02,33 of 53,18 of 35,4 of 6,11 of 12,26 of 44,7 of 9,0 of 0,http://www.ufcstats.com/fight-details/7ac4b9823b1e139b
5,3,David Teymur,0,34 of 65,52%,36 of 67,1 of 6,16%,0,0,0:45,34 of 65,18 of 45,7 of 11,9 of 9,26 of 52,8 of 13,0 of 0,http://www.ufcstats.com/fight-details/7ac4b9823b1e139b
0,1,Rashad Evans,0,8 of 30,26%,8 of 32,0 of 1,0%,0,0,0:00,8 of 30,6 of 27,2 of 3,0 of 0,8 of 30,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/e3ca9462ad0d7685
1,1,Daniel Kelly,0,12 of 46,26%,14 of 49,0 of 2,0%,0,0,0:00,12 of 46,10 of 43,2 of 3,0 of 0,8 of 41,4 of 5,0 of 0,http://www.ufcstats.com/fight-details/e3ca9462ad0d7685
2,2,Rashad Evans,0,10 of 34,29%,11 of 35,1 of 2,50%,0,0,0:07,10 of 34,8 of 32,2 of 2,0 of 0,10 of 32,0 of 2,0 of 0,http://www.ufcstats.com/fight-details/e3ca9462ad0d7685
3,2,Daniel Kelly,0,23 of 57,40%,30 of 66,0 of 3,0%,0,0,0:11,23 of 57,19 of 51,2 of 4,2 of 2,21 of 52,2 of 5,0 of 0,http://www.ufcstats.com/fight-details/e3ca9462ad0d7685
4,3,Rashad Evans,0,35 of 74,47%,43 of 83,0 of 1,0%,0,0,0:00,35 of 74,29 of 67,6 of 7,0 of 0,27 of 64,8 of 10,0 of 0,http://www.ufcstats.com/fight-details/e3ca9462ad0d7685
5,3,Daniel Kelly,0,39 of 90,43%,48 of 100,0 of 3,0%,0,0,0:00,39 of 90,35 of 85,0 of 1,4 of 4,29 of 76,10 of 14,0 of 0,http://www.ufcstats.com/fight-details/e3ca9462ad0d7685
0,1,Amanda Cooper,0,7 of 28,25%,8 of 29,0 of 1,0%,0,0,0:00,7 of 28,6 of 27,1 of 1,0 of 0,7 of 27,0 of 0,0 of 1,http://www.ufcstats.com/fight-details/54f9e3e1fad7a589
1,1,Cynthia Calvillo,0,13 of 26,50%,15 of 29,1 of 1,100%,3,0,1:47,13 of 26,3 of 15,6 of 7,4 of 4,13 of 26,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/54f9e3e1fad7a589
0,1,Alistair Overeem,0,24 of 32,75%,24 of 33,0 of 1,0%,0,0,0:00,24 of 32,4 of 7,8 of 12,12 of 13,23 of 31,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/c79b862be039d9f0
1,1,Mark Hunt,0,9 of 26,34%,10 of 28,0 of 0,---,0,0,0:00,9 of 26,3 of 17,3 of 4,3 of 5,7 of 24,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/c79b862be039d9f0
