,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
0,1,Gilbert Urbina,0,16 of 38,42%,16 of 38,0 of 1,0%,0,0,0:05,16 of 38,4 of 17,6 of 10,6 of 11,16 of 38,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/330d86bfaa4155fe
1,1,Charles Radtke,2,30 of 47,63%,33 of 51,0 of 0,---,0,0,0:08,30 of 47,23 of 40,0 of 0,7 of 7,27 of 43,0 of 0,3 of 4,http://www.ufcstats.com/fight-details/330d86bfaa4155fe
0,1,Molly McCann,0,42 of 91,46%,43 of 92,2 of 2,100%,1,0,1:08,42 of 91,27 of 71,14 of 19,1 of 1,34 of 76,2 of 4,6 of 11,http://www.ufcstats.com/fight-details/d4ace70b3661ee6c
1,1,Diana Belbita,0,29 of 77,37%,29 of 77,0 of 0,---,0,0,0:00,29 of 77,9 of 46,13 of 23,7 of 8,24 of 72,5 of 5,0 of 0,http://www.ufcstats.com/fight-details/d4ace70b3661ee6c
0,1,Azat Maksum,1,15 of 50,30%,17 of 52,1 of 3,33%,1,0,1:22,15 of 50,11 of 45,2 of 3,2 of 2,15 of 49,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/ca7d61e167d7789c
1,1,Charles Johnson,0,14 of 33,42%,15 of 35,0 of 3,0%,0,0,0:08,14 of 33,3 of 15,6 of 9,5 of 9,12 of 31,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/ca7d61e167d7789c
2,2,Azat Maksum,0,9 of 51,17%,9 of 51,0 of 1,0%,0,1,0:27,9 of 51,5 of 43,2 of 5,2 of 3,8 of 50,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/ca7d61e167d7789c
3,2,Charles Johnson,0,23 of 43,53%,24 of 45,1 of 2,50%,1,0,0:28,23 of 43,10 of 22,3 of 6,10 of 15,20 of 39,3 of 4,0 of 0,http://www.ufcstats.com/fight-details/ca7d61e167d7789c
4,3,Azat Maksum,0,14 of 62,22%,14 of 63,1 of 3,33%,0,0,0:40,14 of 62,9 of 54,2 of 3,3 of 5,13 of 61,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/ca7d61e167d7789c
5,3,Charles Johnson,0,39 of 64,60%,42 of 69,1 of 1,100%,2,0,0:11,39 of 64,16 of 39,11 of 12,12 of 13,34 of 57,2 of 3,3 of 4,http://www.ufcstats.com/fight-details/ca7d61e167d7789c
0,1,Themba Gorimbo,1,12 of 18,66%,12 of 18,0 of 1,0%,0,0,0:05,12 of 18,10 of 16,1 of 1,1 of 1,3 of 6,2 of 2,7 of 10,http://www.ufcstats.com/fight-details/4cff9aeef3ac75c1
1,1,Pete Rodriguez,0,0 of 5,0%,0 of 5,0 of 0,---,0,0,0:00,0 of 5,0 of 3,0 of 1,0 of 1,0 of 5,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/4cff9aeef3ac75c1
0,1,JeongYeong Lee,0,19 of 29,65%,31 of 45,0 of 0,---,0,0,0:00,19 of 29,11 of 18,7 of 10,1 of 1,12 of 22,7 of 7,0 of 0,http://www.ufcstats.com/fight-details/e1930496b33fa636
1,1,Blake Bilder,0,8 of 25,32%,9 of 27,0 of 1,0%,0,0,2:23,8 of 25,0 of 10,0 of 2,8 of 13,4 of 21,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/e1930496b33fa636
2,2,JeongYeong Lee,0,20 of 32,62%,32 of 51,1 of 1,100%,0,0,1:26,20 of 32,14 of 26,5 of 5,1 of 1,5 of 10,3 of 3,12 of 19,http://www.ufcstats.com/fight-details/e1930496b33fa636
3,2,Blake Bilder,0,6 of 22,27%,15 of 35,0 of 1,0%,0,0,1:55,6 of 22,1 of 14,0 of 1,5 of 7,3 of 17,3 of 5,0 of 0,http://www.ufcstats.com/fight-details/e1930496b33fa636
4,3,JeongYeong Lee,0,10 of 21,47%,12 of 25,1 of 2,50%,0,0,3:03,10 of 21,8 of 18,2 of 3,0 of 0,4 of 8,1 of 1,5 of 12,http://www.ufcstats.com/fight-details/e1930496b33fa636
5,3,Blake Bilder,0,5 of 7,71%,12 of 15,0 of 1,0%,0,0,1:00,5 of 7,2 of 3,2 of 2,1 of 2,1 of 2,3 of 4,1 of 1,http://www.ufcstats.com/fight-details/e1930496b33fa636
0,1,Luana Carolina,0,12 of 32,37%,35 of 61,0 of 1,0%,0,0,1:04,12 of 32,6 of 20,3 of 7,3 of 5,7 of 27,4 of 4,1 of 1,http://www.ufcstats.com/fight-details/c28d40498150de90
1,1,Julija Stoliarenko,0,6 of 25,24%,6 of 26,1 of 2,50%,0,0,1:46,6 of 25,2 of 17,1 of 3,3 of 5,5 of 22,1 of 3,0 of 0,http://www.ufcstats.com/fight-details/c28d40498150de90
2,2,Luana Carolina,0,25 of 55,45%,43 of 80,0 of 0,---,0,0,0:58,25 of 55,13 of 38,6 of 9,6 of 8,14 of 36,4 of 6,7 of 13,http://www.ufcstats.com/fight-details/c28d40498150de90
3,2,Julija Stoliarenko,0,10 of 28,35%,14 of 35,0 of 1,0%,0,0,1:12,10 of 28,5 of 19,5 of 6,0 of 3,6 of 23,4 of 5,0 of 0,http://www.ufcstats.com/fight-details/c28d40498150de90
4,3,Luana Carolina,0,29 of 49,59%,60 of 89,2 of 2,100%,0,0,3:25,29 of 49,22 of 38,6 of 10,1 of 1,7 of 12,5 of 10,17 of 27,http://www.ufcstats.com/fight-details/c28d40498150de90
5,3,Julija Stoliarenko,0,0 of 6,0%,1 of 7,0 of 2,0%,3,0,0:49,0 of 6,0 of 4,0 of 1,0 of 1,0 of 6,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/c28d40498150de90
0,1,Landon Quinones,0,19 of 47,40%,31 of 62,1 of 3,33%,0,0,1:17,19 of 47,11 of 32,5 of 10,3 of 5,18 of 43,1 of 4,0 of 0,http://www.ufcstats.com/fight-details/e396c509fb47b037
1,1,MarQuel Mederos,0,12 of 36,33%,15 of 42,0 of 0,---,0,0,1:07,12 of 36,7 of 29,3 of 4,2 of 3,11 of 35,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/e396c509fb47b037
2,2,Landon Quinones,0,18 of 48,37%,22 of 53,0 of 0,---,0,0,0:05,18 of 48,16 of 38,2 of 8,0 of 2,18 of 48,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/e396c509fb47b037
3,2,MarQuel Mederos,0,21 of 55,38%,26 of 61,0 of 0,---,0,0,1:18,21 of 55,9 of 37,6 of 11,6 of 7,20 of 54,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/e396c509fb47b037
4,3,Landon Quinones,0,18 of 54,33%,25 of 61,0 of 0,---,0,0,0:42,18 of 54,14 of 45,4 of 8,0 of 1,18 of 54,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/e396c509fb47b037
5,3,MarQuel Mederos,0,27 of 55,49%,33 of 62,0 of 5,0%,0,0,1:48,27 of 55,12 of 37,9 of 11,6 of 7,24 of 52,3 of 3,0 of 0,http://www.ufcstats.com/fight-details/e396c509fb47b037
0,1,Thomas Petersen,0,9 of 17,52%,46 of 57,1 of 2,50%,0,0,1:41,9 of 17,5 of 13,4 of 4,0 of 0,9 of 17,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/df9847839c73a678
1,1,Jamal Pogues,0,24 of 43,55%,24 of 43,0 of 0,---,0,0,0:00,24 of 43,16 of 30,5 of 10,3 of 3,23 of 42,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/df9847839c73a678
2,2,Thomas Petersen,0,22 of 32,68%,40 of 56,0 of 2,0%,0,0,1:06,22 of 32,15 of 23,7 of 9,0 of 0,19 of 29,3 of 3,0 of 0,http://www.ufcstats.com/fight-details/df9847839c73a678
3,2,Jamal Pogues,0,22 of 35,62%,22 of 35,0 of 0,---,0,0,0:00,22 of 35,15 of 27,6 of 7,1 of 1,14 of 26,8 of 9,0 of 0,http://www.ufcstats.com/fight-details/df9847839c73a678
4,3,Thomas Petersen,0,27 of 37,72%,30 of 40,0 of 2,0%,0,0,0:00,27 of 37,6 of 14,19 of 21,2 of 2,26 of 35,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/df9847839c73a678
5,3,Jamal Pogues,0,19 of 46,41%,20 of 47,0 of 0,---,0,0,0:04,19 of 46,12 of 37,4 of 6,3 of 3,19 of 43,0 of 3,0 of 0,http://www.ufcstats.com/fight-details/df9847839c73a678
0,1,Sean Strickland,0,34 of 75,45%,39 of 80,0 of 0,---,0,0,0:00,34 of 75,28 of 67,2 of 4,4 of 4,34 of 75,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
1,1,Dricus Du Plessis,0,18 of 51,35%,19 of 52,2 of 3,66%,0,0,0:28,18 of 51,8 of 38,3 of 3,7 of 10,18 of 51,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
2,2,Sean Strickland,0,22 of 62,35%,26 of 66,0 of 0,---,0,0,0:00,22 of 62,20 of 59,1 of 2,1 of 1,22 of 62,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
3,2,Dricus Du Plessis,0,26 of 60,43%,26 of 60,1 of 1,100%,0,0,0:22,26 of 60,11 of 42,9 of 9,6 of 9,25 of 59,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
4,3,Sean Strickland,0,31 of 87,35%,31 of 87,0 of 0,---,0,0,0:00,31 of 87,29 of 84,2 of 3,0 of 0,31 of 87,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
5,3,Dricus Du Plessis,0,29 of 84,34%,29 of 85,0 of 0,---,0,0,0:00,29 of 84,13 of 64,10 of 12,6 of 8,28 of 83,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
6,4,Sean Strickland,0,33 of 85,38%,34 of 87,0 of 0,---,0,0,0:00,33 of 85,32 of 84,1 of 1,0 of 0,33 of 85,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
7,4,Dricus Du Plessis,0,29 of 73,39%,31 of 75,3 of 5,60%,0,0,1:18,29 of 73,22 of 62,4 of 6,3 of 5,28 of 69,1 of 3,0 of 1,http://www.ufcstats.com/fight-details/14e53999507c76a7
8,5,Sean Strickland,0,53 of 99,53%,53 of 99,0 of 0,---,0,0,0:00,53 of 99,48 of 93,4 of 5,1 of 1,53 of 99,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
9,5,Dricus Du Plessis,0,35 of 86,40%,35 of 86,0 of 2,0%,0,0,0:00,35 of 86,27 of 77,6 of 7,2 of 2,35 of 86,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/14e53999507c76a7
0,1,Raquel Pennington,0,11 of 22,50%,26 of 39,0 of 2,0%,0,0,0:16,11 of 22,7 of 18,4 of 4,0 of 0,9 of 19,2 of 3,0 of 0,http://www.ufcstats.com/fight-details/faf15b752fb8924c
1,1,Mayra Bueno Silva,0,18 of 22,81%,27 of 31,2 of 2,100%,0,0,3:20,18 of 22,11 of 13,4 of 5,3 of 4,7 of 11,10 of 10,1 of 1,http://www.ufcstats.com/fight-details/faf15b752fb8924c
2,2,Raquel Pennington,0,33 of 52,63%,47 of 66,0 of 0,---,0,1,1:04,33 of 52,29 of 47,4 of 5,0 of 0,23 of 40,10 of 12,0 of 0,http://www.ufcstats.com/fight-details/faf15b752fb8924c
3,2,Mayra Bueno Silva,0,20 of 30,66%,29 of 41,0 of 1,0%,1,0,2:46,20 of 30,7 of 14,10 of 11,3 of 5,7 of 16,12 of 13,1 of 1,http://www.ufcstats.com/fight-details/faf15b752fb8924c
4,3,Raquel Pennington,0,27 of 43,62%,52 of 68,1 of 1,100%,0,0,2:32,27 of 43,13 of 28,12 of 13,2 of 2,9 of 23,14 of 16,4 of 4,http://www.ufcstats.com/fight-details/faf15b752fb8924c
5,3,Mayra Bueno Silva,0,17 of 20,85%,20 of 23,0 of 2,0%,1,0,1:35,17 of 20,6 of 8,9 of 10,2 of 2,4 of 6,13 of 14,0 of 0,http://www.ufcstats.com/fight-details/faf15b752fb8924c
6,4,Raquel Pennington,0,29 of 38,76%,75 of 86,0 of 0,---,0,1,3:17,29 of 38,22 of 31,7 of 7,0 of 0,5 of 11,5 of 5,19 of 22,http://www.ufcstats.com/fight-details/faf15b752fb8924c
